"","x"
"1","다섯가닥얼굴붕대"
"2","오두붕대"
"3","산염기평형"
"4","교류망"
"5","후천"
"6","획득"
"7","후천시각상실"
"8","후천실명"
"9","후천형질"
"10","후천낭성콩팥병"
"11","후천낭성신장병"
"12","후천난청"
"13","후천비늘증"
"14","후천면역결핍증후군"
"15","에이즈"
"16","후천면역"
"17","후천면역결핍증후군"
"18","에이즈"
"19","후천거대잘록창자"
"20","후천거대결장"
"21","후천천공피부병"
"22","후천진행림프관종"
"23","획득저항"
"24","획득내성"
"25","획득"
"26","습득"
"27","획득행렬수"
"28","획득방법"
"29","획득시간"
"30","샘종암종연쇄"
"31","선종암종연쇄"
"32","적절도"
"33","적합자극"
"34","보조영상기법"
"35","후장진법"
"36","일정부분"
"37","부분표본"
"38","알리코트"
"39","아미노산순서"
"40","아미노퀸"
"41","아밀로이드판"
"42","분석기법"
"43","각주파수"
"44","얼룩날개모기"
"45","학질모기"
"46","무음가슴소리"
"47","아포키닌"
"48","물"
"49","수"
"50","왕수"
"51","물탓가려움"
"52","수인성가려움"
"53","물공포"
"54","수도관"
"55","물"
"56","방수"
"57","방수흐림"
"58","방수흐름"
"59","방수"
"60","방수형성"
"61","방수"
"62","방수유입"
"63","방수유출"
"64","방수배출"
"65","방수유출률"
"66","수용성페니실린"
"67","수용액"
"68","물용액"
"69","수성부유액"
"70","방수유입현상"
"71","무균기술"
"72","동화율"
"73","죽상판"
"74","죽경화판"
"75","죽상경화판"
"76","방실순차형박동조율기"
"77","의미미결정비정형편평세포"
"78","가청주파수"
"79","바닥편평세포가시세포종"
"80","기저편평극세포종"
"81","바닥편평세포암종"
"82","기저편평세포암종"
"83","기저편평유두종"
"84","베크렐"
"85","생물학적동등성"
"86","생물학적등가"
"87","혈액방수장벽"
"88","추가치료기법"
"89","뎅기"
"90","광폭주파수전파기술"
"91","브라운"
"92","세카르증후군"
"93","열해당량"
"94","칼시퀘스트린"
"95","심장정지술"
"96","말총"
"97","말총증후군"
"98","마미증후군"
"99","공동음"
"100","세포표지기법"
"101","중심주파수"
"102","대뇌수도관"
"103","카이제곱검정"
"104","카이제곱분포"
"105","클로로퀸"
"106","염산클로로퀸"
"107","동축기법"
"108","달팽이수도관"
"109","등가두께계수"
"110","액화괴사"
"111","칼럼추출기법"
"112","연소당량"
"113","예탁선량해당량"
"114","조사영역축소법"
"115","결과"
"116","예후"
"117","임계플리커빈도"
"118","임계융합빈도"
"119","십자포화조사법"
"120","손가락교차법"
"121","수지교차법"
"122","누적도수"
"123","누적합산술"
"124","차단주파수"
"125","주기주파수"
"126","자료수집"
"127","드퀘르뱅병"
"128","데브리소퀸"
"129","겉질제거술"
"130","피질제거술"
"131","지연후유증"
"132","비행"
"133","범죄"
"134","수분흡수용해"
"135","치태"
"136","탈위상재위상기법"
"137","우울상당량"
"138","결합판"
"139","표피탈락"
"140","상피탈락"
"141","비늘벗음"
"142","박리식도염"
"143","박리사이질폐렴"
"144","박리간질폐렴"
"145","발달지수"
"146","투석적절도"
"147","투석충분도"
"148","투석불균형증후군"
"149","디요오드히드록시퀴놀린"
"150","디요오드퀸"
"151","희석분석법"
"152","방전주파수"
"153","흥분발사빈도"
"154","불균형"
"155","평형장애"
"156","중복"
"157","선촬영"
"158","이중주파"
"159","동역학적평형"
"160","역동자화율대조기법"
"161","평형이상"
"162","평형감각장애"
"163","외배엽체형"
"164","유효선량해당량"
"165","유효양자수"
"166","집란법"
"167","전기화학해당량"
"168","기본량"
"169","최소량"
"170","에너지양자"
"171","손목종자뼈"
"172","외삼각골"
"173","균등분할"
"174","음량등감곡선"
"175","방정식"
"176","회귀방정식"
"177","적도"
"178","적도면"
"179","적도판"
"180","적도고리"
"181","적도포도종"
"182","등축"
"183","평형화"
"184","평형"
"185","평형상수"
"186","평형곡선"
"187","평형밀도기울기원심법"
"188","평형투석"
"189","평형기"
"190","평형반응"
"191","같은몰"
"192","같은분자수"
"193","말"
"194","말뇌염"
"195","말생식샘자극호르몬"
"196","말생식선자극호르몬"
"197","꿈치들린오목발"
"198","첨요족"
"199","꿈치안쪽들린휜발"
"200","외반첨족"
"201","꿈치바깥들린휜발"
"202","내반첨족"
"203","꿈치들린휜발"
"204","첨족"
"205","장치성능관리"
"206","등역가성"
"207","등전위"
"208","동치"
"209","등가"
"210","해당량구역"
"211","맞먹이구역"
"212","등가"
"213","당량"
"214","상당량"
"215","해당량"
"216","동등"
"217","당량공기"
"218","당량탄소"
"219","당량농도"
"220","등가전기회로"
"221","등가질량"
"222","등가량"
"223","등중량"
"224","모호증상"
"225","상피벗음홍색피부"
"226","피부벗음홍색피부"
"227","케이라홍색형성증"
"228","골편적출"
"229","뼈조각제거"
"230","뒤집기술"
"231","외번술"
"232","팽창매몰법"
"233","배바깥빗근"
"234","외복사근"
"235","추출법"
"236","엽외허파분리증"
