"","x"
"1","히드록시인돌아세트산"
"2","배대동맥신경얼기"
"3","복부대동맥신경총"
"4","배벽자궁고정"
"5","복벽자궁고정"
"6","배근육반사"
"7","복벽반사"
"8","흡수지수"
"9","별가시아메바"
"10","가시모양골반"
"11","극상골반"
"12","사고피폭"
"13","사고노출"
"14","조절반사"
"15","조절과다"
"16","조절외편위"
"17","조절외사시"
"18","조절동공반사"
"19","아킬레스힘줄반사"
"20","아킬레스건반사"
"21","청각눈깜박반사"
"22","소리반사"
"23","획득행렬수"
"24","봉우리끝"
"25","견봉단"
"26","어깨봉우리반사"
"27","견봉반사"
"28","활성화복합"
"29","활성화복합물"
"30","능동운동"
"31","활동산소"
"32","활성산소"
"33","급성노출"
"34","모음근반사"
"35","내전근반사"
"36","덧귀밑샘"
"37","부이하선"
"38","혼합물"
"39","부속기관"
"40","부속기"
"41","자궁부속기"
"42","부속기관암종"
"43","자궁부속기전이"
"44","부속기관모반"
"45","자궁부속기절제"
"46","자궁부속기염"
"47","자궁부속기고정"
"48","부속기절개"
"49","부신된출혈"
"50","부신겉질"
"51","부신피질"
"52","유산소운동"
"53","산소운동"
"54","정동표현"
"55","부착물"
"56","첨가물"
"57","부착뿌리"
"58","아플라톡신"
"59","연령성피라미드"
"60","무과립겉질"
"61","무과립피질"
"62","에이즈치매복합"
"63","대기오염지수"
"64","기도반사"
"65","숨길반사"
"66","운동불능행위상실"
"67","운동불능실행증"
"68","알코올중독"
"69","알코올중독섬망"
"70","알렉산더병"
"71","실독증"
"72","읽기언어상실"
"73","알칼리중독"
"74","알칼리역류위염"
"75","대립유전자배제"
"76","동류반사"
"77","부등겉질"
"78","이종피질"
"79","알록산"
"80","알록산뇨"
"81","교대외사시"
"82","교대주시"
"83","머리높이길이지수"
"84","폐포가스교환"
"85","허파꽈리가스교환"
"86","폐포저산소증"
"87","꽈리저산소증"
"88","폐포산소압"
"89","허파꽈리산소압"
"90","폐포동맥간산소분압차"
"91","아말감띠"
"92","아말감혼합기"
"93","일과성흑암시"
"94","양손잡이"
"95","양수능숙"
"96","양성"
"97","폐용약시"
"98","양막파열"
"99","양수지수"
"100","아목시실린"
"101","양성혼합"
"102","점액없음"
"103","무점액"
"104","무산소운동"
"105","항문반사"
"106","아나필락시스성중독"
"107","초과민반응쇼크"
"108","아나필락시스독소"
"109","아나필락시스"
"110","해부학적코담배갑"
"111","빈혈무산소증"
"112","빈혈저산소증"
"113","단순혈관종"
"114","동물실험"
"115","음이온교환수지"
"116","고래회충"
"117","발목반사"
"118","아넥신"
"119","양극산화"
"120","식욕부진"
"121","입맛없음"
"122","신경성식욕부진"
"123","식욕억제"
"124","식욕억제제"
"125","무산소혈증"
"126","무산소혈무산소증"
"127","무산소증"
"128","무산소성무산소증"
"129","무산소뇌병"
"130","무산소생활"
"131","무산소생물대사"
"132","대항반사"
"133","길항반사"
"134","전굴"
"135","앞굽음"
"136","앞고리중쇠인대"
"137","전환축인대"
"138","앞겨드랑선"
"139","전액와선"
"140","앞골반내용물적출"
"141","전골반내용물적출"
"142","탄저병"
"143","항아나필락시스"
"144","항불안제"
"145","불안치료제"
"146","항체과잉"
"147","항체과잉구역"
"148","항체의존세포매개세포독성"
"149","예기불안"
"150","앞정강근반사"
"151","전경근반사"
"152","항이중가닥"
"153","항체"
"154","항원과잉"
"155","항원과잉구역"
"156","항원항체복합체"
"157","항산화제"
"158","항산화효과"
"159","항역류술기"
"160","항역류판막"
"161","항독성글로불린"
"162","항독소면역"
"163","항독소혈청"
"164","항독소"
"165","항독소단위"
"166","항건조증"
"167","불안"
"168","불안발작"
"169","불안장애"
"170","불안히스테리"
"171","불안신경증"
"172","불안반응"
"173","불안상태"
"174","불안증후군"
"175","항불안"
"176","항불안제"
"177","불안공포인격"
"178","불안인격장애"
"179","대동맥토리반사"
"180","대동맥소체반사"
"181","꼭지"
"182","끝"
"183","꼭대기"
"184","심장끝심장도"
"185","심장꼭대기심장도"
"186","심장끝"
"187","허파꼭대기"
"188","폐꼭대기"
"189","삼킴곤란"
"190","연하곤란"
"191","저항력저하"
"192","심첨장축도"
"193","무호흡산소섭취"
"194","된출혈"
"195","졸중"
"196","중풍"
"197","부속물"
"198","막창자꼬리"
"199","충수"
"200","곁자취"
"201","부고환부속물"
"202","복막주렁"
"203","복막수"
