"","x"
"1","삼차원위상대조혈관조영"
"2","히드록시인돌아세트산"
"3","무세균고름뇨"
"4","무세균농뇨"
"5","무게인식불능"
"6","가동관절"
"7","움직관절"
"8","비관절통풍"
"9","탈구"
"10","가동관절"
"11","배대동맥자루"
"12","복부대동맥류"
"13","배대동맥"
"14","복부대동맥"
"15","배대동맥신경얼기"
"16","복부대동맥신경총"
"17","복대"
"18","배띠"
"19","배둘레"
"20","복부둘레"
"21","복식분만"
"22","배벽진동감"
"23","복벽진동감"
"24","복벽탈장"
"25","배벽탈장"
"26","배자궁절제"
"27","복식자궁절제"
"28","배벽자궁고정"
"29","복벽자궁고정"
"30","복부편두통"
"31","배편두통"
"32","배천자"
"33","복부천자"
"34","복강임신"
"35","배안임신"
"36","복압"
"37","배근육반사"
"38","복벽반사"
"39","배호흡"
"40","복식호흡"
"41","임신선"
"42","복부선"
"43","복부태아회전"
"44","복식자궁절제"
"45","배자궁절제"
"46","복식자궁절개"
"47","배자궁절개"
"48","배샅절제"
"49","복회음절제"
"50","갓돌림신경"
"51","외전신경"
"52","갓돌림신경"
"53","외전신경"
"54","짧은엄지벌림근"
"55","단무지외전근"
"56","긴엄지벌림근"
"57","장무지외전근"
"58","배아반대쪽"
"59","배아반대쪽극"
"60","이상"
"61","미주"
"62","이상클론"
"63","이상전도"
"64","이상주기"
"65","미주세관"
"66","이상형태발생"
"67","변위형태형성"
"68","이상재생"
"69","딴곳갑상샘"
"70","이소성갑상선"
"71","이상"
"72","수차"
"73","빛벗어남"
"74","미주"
"75","수차계"
"76","무베타지질단백혈증"
"77","무활력"
"78","위축"
"79","눈꺼풀없음"
"80","무안검"
"81","이상행동"
"82","이상교합"
"83","비정상불수의운동척도"
"84","이상운동"
"85","이상망막대응"
"86","이상자궁출혈"
"87","이상"
"88","비정상"
"89","혈액형체계"
"90","난각후단돌출"
"91","난각후단비후"
"92","입에서먼"
"93","입반대쪽"
"94","낙태제"
"95","낙태제"
"96","유산"
"97","낙태"
"98","유산율"
"99","유산비"
"100","낙태시술자"
"101","부전"
"102","불현"
"103","유산유발"
"104","유산수태물"
"105","불발감염"
"106","불현감염"
"107","부전프로파지"
"108","불현프로파지"
"109","부전형질도입"
"110","낙태아"
"111","유산열"
"112","팔없음증"
"113","무완증"
"114","연마"
"115","연마제"
"116","찰과상"
"117","개갠상처"
"118","마멸"
"119","마모"
"120","연마"
"121","마멸량"
"122","마모량"
"123","연마"
"124","연마제"
"125","연마기"
"126","속뚫림"
"127","태반조기박리"
"128","소발작"
"129","실신발작"
"130","작은발작"
"131","절대부정맥"
"132","절대"
"133","침상"
"134","안정"
"135","절대심장둔탁음"
"136","절대음감"
"137","절대원시"
"138","절대불응기"
"139","절대위험모형"
"140","절대온도"
"141","흡수거즈"
"142","흡수젤라틴갯솜"
"143","흡수젤라틴해면"
"144","흡수묶음실"
"145","흡수봉합사"
"146","흡광"
"147","흡수"
"148","흡광도"
"149","흡수도"
"150","피흡수물"
"151","흡수선량"
"152","흡수선량변환계수"
"153","흡수선량률"
"154","흡수분율"
"155","흡수촉진"
"156","흡수촉진제"
"157","흡수제"
"158","흡수제"
"159","흡수부위"
"160","흡수계측"
"161","흡수"
"162","흡수작용"
"163","흡수계수"
"164","흡수열"
"165","흡수지수"
"166","흡수유"
"167","흡수스펙트럼"
"168","흡수시험"
"169","흡수검사"
"170","흡수율"
"171","금주가"
"172","금연가"
"173","금단섬망"
"174","금단증후군"
"175","추상사고"
"176","추출"
"177","추상"
"178","추상화"
"179","두눈바깥회선"
"180","두눈외회선"
"181","별가시아메바"
"182","쿨베르손가시아메바"
"183","가시아메바각막염"
"184","가시세포분리이상각화증"
"185","가시세포분리이상각화모반"
"186","극세포해리이상각화모반"
"187","흑색솟음가시세포증"
"188","흑색구진극세포증"
"189","흑색가시세포증"
"190","흑색극세포증"
"191","가시세포증식각화증"
"192","심장없음"
"193","무심장"
"194","무심장쌍둥이"
"195","무심체"
"196","무심장체"
"197","진드기증"
"198","진드기구충제"
"199","진드기살충제"
"200","진드기"
"201","진드기증"
"202","진드기피부염"
"203","진드기학"
"204","진드기공포"
"205","가속과분할"
"206","가속고혈압"
"207","가속심실고유리듬"
"208","가속심실고유율동"
"209","가속재증식"
"210","촉진중추"
"211","가속"
"212","가속도"
"213","촉진"
"214","촉진기"
"215","가속기"
"216","촉진인자"
"217","촉진제"
"218","가속기"
"219","촉진신경"
"220","강화제"
"221","수용적분위기"
"222","수용체"
"223","받개"
"224","덧"
"225","부"
"226","부속"
"227","덧유방"
"228","보조세포"
"229","덧세포"
"230","덧염색체"
"231","더부신경경련"
"232","덧쐐기다발핵"
"233","부설상핵"
"234","덧귀"
"235","더부신경"
"236","부신경"
"237","덧핵소체"
"238","부핵소체"
"239","더부신경핵"
"240","부신경핵"
"241","덧눈돌림신경핵"
"242","부동안신경핵"
"243","덧이자"
"244","부췌장"
"245","덧이자관"
"246","부췌관"
"247","덧귀밑샘"
"248","부이하선"
"249","덧전도로"
"250","부전도로"
"251","덧태반"
"252","덧돌기"
"253","덧징후"
"254","부징후"
"255","덧지라"
"256","부비장"
"257","덧증상"
"258","부증상"
"259","덧갑상샘"
"260","덧갑상샘"
"261","덧자궁"
"262","부자궁"
"263","우발유산"
"264","우연오차"
"265","사고피폭"
"266","사고노출"
"267","우연기생충"
"268","우연기생"
"269","사고경향성"
"270","얼굴붕대"
"271","다섯가닥얼굴붕대"
"272","오두붕대"
"273","순화열"
"274","조절마비"
"275","조절불완전마비"
"276","조절범위"
"277","조절반사"
"278","조절눈모음"
"279","조절내사시"
"280","조절외사시"
"281","조절력"
"282","조절동공반사"
"283","조절사시"
"284","조절유발시표"
"285","조절측정계"
"286","아코디언발"
"287","아코디언피부이식"
"288","인정"
"289","신임"
"290","발아생식"
"291","부착성장"
"292","부착성장"
"293","유착"
"294","부착"
"295","문화적응문제"
"296","정확도"
"297","정확도관리"
"298","무세포"
"299","무세포시멘트질"
"300","중심외"
"301","비중추성"
"302","무중심절"
"303","무중심절염색체"
"304","무중심절조각"
"305","염색체단편"
"306","무중심체단편"
"307","비중심교합"
"308","쏠린맞물림"
"309","절구형성이상"
"310","관골구형성이상"
"311","절구오목"
"312","비구와"
"313","절구테두리"
"314","비구순"
"315","절구패임"
"316","비구절흔"
"317","아세토박터"
"318","아세트글리코스뇨"
"319","아세토모르핀"
"320","아세톤뇨"
"321","아세틸콜린에스테르분해효소"
"322","아세틸콜린에스테라아제"
"323","아세틸살리실산항혈소판요법"
"324","손없음"
"325","아킬레스힘줄반사"
"326","아킬레스건반사"
"327","아킬레스힘줄윤활낭염"
"328","아킬레스건윤활낭염"
"329","아킬레스힘줄봉합"
"330","아킬레스건봉합"
"331","위산없음증"
"332","무위산증"
"333","무위산소화불량"
"334","녹색맹"
"335","무담즙뇨"
"336","무담즙뇨"
"337","무담즙뇨가족성황달"
"338","무담즙뇨황달"
"339","연골무발생증"
"340","연골무형성증"
"341","무색소"
"342","완전색맹자"
"343","무색"
"344","비염색"
"345","무색수차"
"346","무색수차렌즈"
"347","무색지움렌즈"
"348","무색덩이"
"349","비염색덩이"
"350","완전색맹"
"351","무색성"
"352","완전색맹"
"353","무색적혈구"
"354","비염색"
"355","비염색세포"
"356","완전색맹"
"357","무색소증"
"358","무염색"
"359","무색"
"360","무색소뇨"
"361","무색소증"
"362","탈색모반"
"363","무색모반"
"364","무색적혈구"
"365","위무산증"
"366","위펩신없음증"
"367","침모양"
"368","산화상"
"369","산성점액다당류"
"370","산성뮤코다당류"
"371","산성고름뇨"
"372","산성농뇨"
"373","산기"
"374","산라디칼"
"375","산성비"
"376","산요법"
"377","산염기평형"
"378","산염기지시계"
"379","항산균"
"380","항산균"
"381","산도측정법"
"382","산정량법"
"383","산생성균"
"384","호산균"
"385","호산과립"
"386","호산적혈모구"
"387","호산전골수세포"
"388","호산풋뼈속질세포"
"389","산뇨"
"390","내산균"
"391","샘꽈리세포"
"392","세엽세포"
"393","샘꽈리세포암종"
"394","세엽세포암종"
"395","꽈리샘"
"396","세엽선"
"397","아시네토박테르"
"398","샘꽈리세포암종"
"399","세엽세포암종"
"400","샘꽈리모양"
"401","세엽상"
"402","괴사여드름"
"403","좁쌀괴사여드름"
"404","여드름장미증"
"405","여드름흉터"
"406","두창모양여드름"
"407","보통여드름"
"408","여드름"
"409","여드름모양발진"
"410","여드름모양털집염"
"411","여드름모양모낭염"
"412","여드름모양구진"
"413","여드름모양솟음"
"414","동공없음"
"415","무동공"
"416","받아쓰기언어불능"
"417","청각실서증"
"418","청각영역"
"419","청각조짐"
"420","청각눈깜박반사"
"421","청각중추"
"422","청각과민"
"423","소리절연체"
"424","음향절연체"
"425","소리경계면"
"426","음향경계면"
"427","소리흡수재"
"428","흡음재"
"429","속귀신경"
"430","청신경"
"431","속귀신경집종"
"432","청신경집종"
"433","속귀신경집종"
"434","청신경집종"
"435","귓구멍"
"436","청각부챗살"
"437","소리반사"
"438","음향강화"
"439","음향저항"
"440","음향코안통기도측정기"
"441","음향비강통기도검사기"
"442","음향스펙트럼"
"443","음향스트레스"
"444","청각스트레스"
"445","음향변환기"
"446","음향변성기"
"447","교류망"
"448","후천"
"449","획득"
"450","후천시각상실"
"451","후천실명"
"452","후천형질"
"453","후천낭성콩팥병"
"454","후천낭성신장병"
"455","후천난청"
"456","후천비늘증"
"457","후천면역결핍증후군"
"458","에이즈"
"459","후천면역"
"460","후천면역결핍증후군"
"461","에이즈"
"462","후천거대잘록창자"
"463","후천거대결장"
"464","후천천공피부병"
"465","후천진행림프관종"
"466","획득저항"
"467","획득내성"
"468","획득행렬수"
"469","말단"
"470","말단과다각화증"
"471","말단흑자흑색종"
"472","머리뼈없음"
"473","무두개"
"474","아크리딘"
"475","아크리딘물감"
"476","아크리플라빈"
"477","완전색맹"
"478","팔다리인식불능"
"479","사지실인증"
"480","말단감각마비"
"481","말단혈관피부염"
"482","손발관절염"
"483","수족관절염"
"484","앞뒤짧은머리증"
"485","끝곁매듭"
"486","끝곁매듭염색체"
"487","뾰족머리증"
"488","첨두증"
"489","뾰족머리과다가락붙음증"
"490","뾰족머리다합지증"
"491","뾰족머리증"
"492","첨두증"
"493","손발오그라듦"
"494","사지구축"
"495","말단청색증"
"496","말단청색한랭병"
"497","말단청색저온병"
"498","말단피부염"
"499","손발피부염"
"500","연속말단피부염"
"501","창자병증말단피부염"
"502","지속말단피부염"
"503","말단피부증"
"504","말단통증"
"505","말단홍반"
"506","말단홍색각피증"
"507","말단감각과민"
"508","말단통증"
"509","얼굴말단뼈발생이상"
"510","팔다리인식"
"511","찬손발"
"512","말단냉각"
"513","말단각화탄력섬유증"
"514","말단각화증"
"515","말단비대거인"
"516","말단비대"
"517","팔다리통증"
"518","말단발육과다"
"519","봉우리끝"
"520","견봉단"
"521","봉우리그물"
"522","견봉망"
"523","어깨봉우리반사"
"524","견봉반사"
"525","말단왜소"
"526","봉우리목피판"
"527","견봉경피판"
"528","봉우리빗장관절"
"529","견봉쇄골관절"
"530","봉우리빗장인대"
"531","견봉쇄골인대"
"532","어깨뼈봉우리"
"533","견봉"
"534","어깨뼈봉우리절제"
"535","견봉절제"
"536","어깨뼈봉우리성형"
"537","견봉성형"
"538","말단신경병"
"539","말단신경증"
"540","말단마비"
"541","말단감각이상"
"542","말단병"
"543","꼭지방향"
"544","정점시각"
"545","고소공포"
"546","말단색소침착"
"547","말단피부경화"
"548","말단경화"
"549","아크로신"
"550","첨단체모자"
"551","첨단체잔섬유"
"552","첨단체미세섬유"
"553","첨단체과립"
"554","첨단체막"
"555","첨단체"
"556","첨단체반응"
"557","말단뼈용해"
"558","말단골용해"
"559","가락끝붙음증"
"560","말단합지증"
"561","표피내땀샘관모반"
"562","표피내한선관모반"
"563","무맥박"
"564","약한맥박"
"565","무맥박"
"566","약한맥박"
"567","말단영양통증"
"568","아크릴수지"
"569","아크릴수지시멘트"
"570","아크릴수지재킷관"
"571","아크릴수지계속치"
"572","광선피부염"
"573","광선육아종"
"574","광선각막염"
"575","광선각막병"
"576","광화학각막병"
"577","광선각화증"
"578","광선땀구멍각화증"
"579","광선가려움발진"
"580","화학작용광선"
"581","광선유사그물증"
"582","광선망막염"
"583","광화학망막염"
"584","광선피부염"
"585","광선피부증"
"586","악티노마두라"
"587","활동전류"
"588","활동떨림"
"589","활성화흡착"
"590","활성숯"
"591","활성탄"
"592","활성화부분트롬보플라스틴시간"
"593","활성화에너지"
"594","활성인자"
"595","활성화과정"
"596","활성제"
"597","턱교정장치"
"598","활성제반응"
"599","활성숯"
"600","활성탄"
"601","활성전극"
"602","능동운동"
"603","능동경사차폐"
"604","능동충혈"
"605","적극함입양식"
"606","활성골수"
"607","활성물질"
"608","활성재"
"609","활동의지"
"610","능동의지"
"611","능동운반"
"612","적극치료"
"613","활동결핵"
"614","실제사망률"
"615","보험통계법"
"616","관침지혈법"
"617","청력계"
"618","뾰족사마귀"
"619","지압"
"620","침술"
"621","경혈점"
"622","전기침"
"623","급성뇌증후군"
"624","급성카타르후두염"
"625","급성노출"
"626","급성용혈성수혈반응"
"627","급성특발여러신경염"
"628","급성특발다발신경염"
"629","급성간헐포르피린증"
"630","급성허혈위팔신경병"
"631","급성허혈상완신경병"
"632","급성태선모양잔비늘증"
"633","급성괴사출혈뇌병"
"634","급성괴사망막염"
"635","급성괴사궤양잇몸염"
"636","급성괴사궤양치은염"
"637","급성콩팥염"
"638","급성신장염"
"639","급성폐쇄세기관지염"
"640","급성이자염"
"641","급성췌장염"
"642","급성기반응물질"
"643","급성기반응"
